observation_time,source_system,station_code,mast_id,latitude,longitude,tqi,gmt,age_since_maint,temperature,delay_minutes,contact_wire_wear_mm,catenary_tension_kg,stagger_mm,voltage_kv,track_condition,defect_type,signal_aspect,axle_counter_status
2026-09-23T09:20:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.1,55.2,32.0,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:20:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.1,125.2,35.3,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:20:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.1,210.2,39.5,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:20:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.1,250.2,42.0,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:25:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.2,31.2,2.60,1.45,1020,200,25.10,Good - Baseline,None,DOUBLE_YELLOW,CLEAR
2026-09-23T09:25:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.2,32.2,2.10,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,DOUBLE_YELLOW,CLEAR
2026-09-23T09:25:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.2,35.5,3.50,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,DOUBLE_YELLOW,CLEAR
2026-09-23T09:25:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.2,39.8,1.30,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,DOUBLE_YELLOW,CLEAR
2026-09-23T09:25:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.2,42.2,4.40,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,DOUBLE_YELLOW,OCCUPIED
2026-09-23T09:30:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.0,35.3,31.3,2.10,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:30:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.0,55.3,32.3,1.60,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:30:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.0,125.3,35.6,3.00,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:30:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.0,210.3,39.8,0.80,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:30:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.0,250.3,42.3,3.90,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:35:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.4,31.6,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:35:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.4,32.5,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:35:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.3,35.8,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:35:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.3,40.0,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:35:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.3,42.5,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:40:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.1,35.4,31.6,2.40,1.45,1020,200,25.10,Good - Baseline,None,YELLOW,CLEAR
2026-09-23T09:40:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.1,55.4,32.6,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,YELLOW,CLEAR
2026-09-23T09:40:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.1,125.4,35.9,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,YELLOW,CLEAR
2026-09-23T09:40:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.1,210.4,40.1,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,YELLOW,CLEAR
2026-09-23T09:40:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.1,250.4,42.6,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,YELLOW,OCCUPIED
2026-09-23T09:45:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.0,35.5,31.9,2.10,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:45:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.0,55.5,32.9,1.60,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:45:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.0,125.5,36.1,3.00,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:45:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.0,210.4,40.4,0.80,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:45:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.0,250.4,42.9,3.90,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:50:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.5,31.9,2.60,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:50:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.5,32.9,2.10,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:50:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.5,36.2,3.50,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:50:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.5,40.4,1.30,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:50:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.5,42.9,4.40,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:55:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.5,32.1,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:55:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.5,33.1,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:55:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.5,36.4,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:55:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.6,40.6,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:55:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.6,43.1,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:00:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.1,35.6,32.2,2.10,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:00:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.1,55.6,33.2,1.60,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:00:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.1,125.6,36.5,3.00,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:00:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.1,210.6,40.7,0.80,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:00:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.1,250.6,43.2,3.90,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:05:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.6,32.5,2.40,1.45,1020,200,25.10,Good - Baseline,None,DOUBLE_YELLOW,CLEAR
2026-09-23T10:05:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.6,33.5,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,DOUBLE_YELLOW,CLEAR
2026-09-23T10:05:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.7,36.8,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,DOUBLE_YELLOW,CLEAR
2026-09-23T10:05:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.7,41.0,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,DOUBLE_YELLOW,CLEAR
2026-09-23T10:05:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.7,43.5,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,DOUBLE_YELLOW,OCCUPIED
2026-09-23T10:10:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.7,32.5,2.40,1.45,1020,200,25.10,Good - Baseline,None,YELLOW,CLEAR
2026-09-23T10:10:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.7,33.5,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,YELLOW,CLEAR
2026-09-23T10:10:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.7,36.8,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,YELLOW,CLEAR
2026-09-23T10:10:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.7,41.0,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,YELLOW,CLEAR
2026-09-23T10:10:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.7,43.5,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,YELLOW,OCCUPIED
2026-09-23T10:15:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.0,35.8,32.8,2.60,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:15:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.0,55.8,33.8,2.10,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:15:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.0,125.8,37.0,3.50,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:15:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.0,210.8,41.2,1.30,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:15:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.0,250.8,43.8,4.40,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:20:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.1,35.8,32.8,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:20:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.1,55.8,33.8,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:20:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.1,125.8,37.1,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:20:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.1,210.8,41.3,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:20:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.1,250.8,43.8,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:25:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.9,33.0,2.40,1.45,1020,200,25.10,Good - Baseline,None,DOUBLE_YELLOW,CLEAR
2026-09-23T10:25:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.9,34.0,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,DOUBLE_YELLOW,CLEAR
2026-09-23T10:25:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.8,37.3,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,DOUBLE_YELLOW,CLEAR
2026-09-23T10:25:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.8,41.5,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,DOUBLE_YELLOW,CLEAR
2026-09-23T10:25:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.8,44.0,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,DOUBLE_YELLOW,OCCUPIED
2026-09-23T10:30:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.0,35.9,33.1,2.10,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:30:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.0,55.9,34.1,1.60,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:30:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.0,125.9,37.4,3.00,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:30:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.0,210.9,41.6,0.80,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:30:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.0,250.9,44.1,3.90,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:35:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,36.0,33.4,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:35:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,56.0,34.4,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:35:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,126.0,37.6,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:35:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.9,41.9,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:35:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.9,44.4,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:40:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.1,36.0,33.4,2.60,1.45,1020,200,25.10,Good - Baseline,None,YELLOW,CLEAR
2026-09-23T10:40:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.1,56.0,34.4,2.10,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,YELLOW,CLEAR
2026-09-23T10:40:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.1,126.0,37.7,3.50,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,YELLOW,CLEAR
2026-09-23T10:40:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.1,211.0,41.9,1.30,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,YELLOW,CLEAR
2026-09-23T10:40:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.1,251.0,44.4,4.40,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,YELLOW,OCCUPIED
2026-09-23T10:45:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.0,36.0,33.6,2.10,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:45:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.0,56.0,34.6,1.60,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:45:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.0,126.0,37.9,3.00,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:45:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.0,211.1,42.1,0.80,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:45:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.0,251.1,44.6,3.90,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:50:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,36.1,33.7,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:50:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,56.1,34.7,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:50:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,126.1,38.0,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:50:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,211.1,42.2,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:50:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,251.1,44.7,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T10:55:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,36.1,34.0,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T10:55:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,56.1,35.0,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T10:55:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,126.2,38.2,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T10:55:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,211.2,42.5,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T10:55:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,251.2,45.0,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
